Generated DX Campaign 200
Generated: 2026-07-29 14:52:16
Cadence: 4 Easy, 1 Hard, 4 Easy, 1 Very Hard.
Easy uses Complex Guided DX. Hard and Very Hard use Complex Guided DX Flow.
Exactly 50 deterministic random campaign positions use custom board shapes.
Coverage target: 100% of every active board cell.

001. 1_Level_EZ_1 [EASY]: 10x9 Rectangle, DX complexity 66%, 14 arrows, 90/90 cells (100.0 %), waves 9, widest 2, >2 waves 0, initial 2, avg turns 2.21, longest 12, cross T>B 2/B>T 1, L>R 2/R>L 1, regions 6, streak 2, backtrack H5/V3, seed campaign.
012. 12_Level_EZ_10 [EASY]: 13x11 Hourglass, DX complexity 78%, 17 arrows, 113/113 cells (100.0 %), waves 11, widest 3, >2 waves 1, initial 3, avg turns 2.35, longest 16, cross T>B 3/B>T 3, L>R 2/R>L 2, regions 7, streak 2, backtrack H4/V5, seed campaign.
013. 13_Level_EZ_11 [EASY]: 13x12 Hourglass, DX complexity 80%, 18 arrows, 125/125 cells (100.0 %), waves 13, widest 2, >2 waves 0, initial 2, avg turns 2.61, longest 13, cross T>B 1/B>T 0, L>R 2/R>L 2, regions 9, streak 3, backtrack H3/V6, seed campaign.
014. 14_Level_EZ_12 [EASY]: 14x12 Shield, DX complexity 82%, 15 arrows, 114/114 cells (100.0 %), waves 12, widest 2, >2 waves 0, initial 1, avg turns 2.60, longest 13, cross T>B 3/B>T 1, L>R 1/R>L 1, regions 5, streak 3, backtrack H5/V6, seed campaign.
015. 15_Level_H_2 [HARD]: 18x17 Rectangle, DX Flow complexity 95%, 27 arrows, 306/306 cells (100.0 %), waves 19, widest 3, >2 waves 1, initial 1, avg turns 3.30, longest 24, cross T>B 3/B>T 4, L>R 6/R>L 4, regions 8, streak 5, backtrack H8/V10, seed campaign.
016. 16_Level_EZ_13 [EASY]: 13x12 Rectangle, DX complexity 81%, 17 arrows, 156/156 cells (100.0 %), waves 13, widest 2, >2 waves 0, initial 2, avg turns 2.88, longest 16, cross T>B 1/B>T 1, L>R 1/R>L 3, regions 7, streak 4, backtrack H6/V7, seed campaign.
017. 17_Level_EZ_14 [EASY]: 14x12 Rectangle, DX complexity 83%, 20 arrows, 168/168 cells (100.0 %), waves 14, widest 3, >2 waves 1, initial 2, avg turns 2.25, longest 16, cross T>B 2/B>T 1, L>R 4/R>L 4, regions 6, streak 3, backtrack H7/V6, seed campaign.
018. 18_Level_EZ_15 [EASY]: 14x13 Cross, DX complexity 85%, 17 arrows, 112/112 cells (100.0 %), waves 12, widest 2, >2 waves 0, initial 2, avg turns 2.06, longest 12, cross T>B 1/B>T 2, L>R 3/R>L 1, regions 7, streak 2, backtrack H7/V6, seed campaign.
019. 19_Level_EZ_16 [EASY]: 15x13 Clover, DX complexity 87%, 15 arrows, 103/103 cells (100.0 %), waves 10, widest 2, >2 waves 0, initial 2, avg turns 2.53, longest 12, cross T>B 2/B>T 2, L>R 2/R>L 2, regions 5, streak 4, backtrack H4/V4, seed campaign.
020. 20_Level_VH_2 [VERY HARD]: 21x20 Rectangle, DX Flow complexity 99%, 37 arrows, 420/420 cells (100.0 %), waves 19, widest 4, >2 waves 4, initial 2, avg turns 3.24, longest 28, cross T>B 5/B>T 4, L>R 4/R>L 2, regions 11, streak 3, backtrack H12/V9, seed campaign.
021. 21_Level_EZ_17 [EASY]: 14x13 Clover, DX complexity 80%, 15 arrows, 102/102 cells (100.0 %), waves 7, widest 4, >2 waves 2, initial 2, avg turns 2.53, longest 12, cross T>B 2/B>T 1, L>R 1/R>L 1, regions 3, streak 3, backtrack H3/V2, seed campaign.
022. 22_Level_EZ_18 [EASY]: 15x13 TwinBlocks, DX complexity 82%, 18 arrows, 155/155 cells (100.0 %), waves 14, widest 3, >2 waves 1, initial 1, avg turns 2.94, longest 15, cross T>B 3/B>T 2, L>R 1/R>L 1, regions 9, streak 4, backtrack H7/V9, seed campaign.
023. 23_Level_EZ_19 [EASY]: 15x14 TwinBlocks, DX complexity 84%, 20 arrows, 174/174 cells (100.0 %), waves 14, widest 3, >2 waves 2, initial 3, avg turns 2.60, longest 19, cross T>B 1/B>T 2, L>R 4/R>L 1, regions 8, streak 2, backtrack H6/V6, seed campaign.
024. 24_Level_EZ_20 [EASY]: 16x14 Rectangle, DX complexity 86%, 25 arrows, 224/224 cells (100.0 %), waves 17, widest 4, >2 waves 2, initial 2, avg turns 2.80, longest 19, cross T>B 1/B>T 1, L>R 2/R>L 0, regions 7, streak 5, backtrack H9/V10, seed campaign.
025. 25_Level_H_3 [HARD]: 19x18 Rectangle, DX Flow complexity 95%, 29 arrows, 342/342 cells (100.0 %), waves 22, widest 3, >2 waves 1, initial 2, avg turns 3.45, longest 25, cross T>B 2/B>T 3, L>R 3/R>L 4, regions 10, streak 5, backtrack H9/V14, seed campaign.
026. 26_Level_EZ_21 [EASY]: 15x14 TwinStacks, DX complexity 84%, 22 arrows, 158/158 cells (100.0 %), waves 9, widest 5, >2 waves 3, initial 2, avg turns 2.41, longest 15, cross T>B 3/B>T 2, L>R 2/R>L 3, regions 5, streak 3, backtrack H5/V4, seed campaign.
027. 27_Level_EZ_22 [EASY]: 16x14 Dumbbell, DX complexity 86%, 19 arrows, 148/148 cells (100.0 %), waves 10, widest 4, >2 waves 2, initial 3, avg turns 2.89, longest 15, cross T>B 1/B>T 0, L>R 2/R>L 5, regions 5, streak 3, backtrack H5/V4, seed campaign.
028. 28_Level_EZ_23 [EASY]: 16x15 Dumbbell, DX complexity 88%, 24 arrows, 168/168 cells (100.0 %), waves 11, widest 4, >2 waves 2, initial 2, avg turns 2.21, longest 15, cross T>B 0/B>T 3, L>R 3/R>L 2, regions 5, streak 3, backtrack H7/V6, seed campaign.
029. 29_Level_EZ_24 [EASY]: 17x15 Dumbbell, DX complexity 90%, 27 arrows, 176/176 cells (100.0 %), waves 13, widest 3, >2 waves 4, initial 3, avg turns 1.89, longest 16, cross T>B 2/B>T 2, L>R 3/R>L 2, regions 5, streak 4, backtrack H4/V6, seed campaign.
030. 30_Level_VH_3 [VERY HARD]: 22x21 Rectangle, DX Flow complexity 99%, 39 arrows, 462/462 cells (100.0 %), waves 20, widest 4, >2 waves 6, initial 2, avg turns 3.21, longest 29, cross T>B 1/B>T 3, L>R 5/R>L 1, regions 7, streak 7, backtrack H9/V9, seed campaign.
031. 31_Level_EZ_25 [EASY]: 16x15 Diamond, DX complexity 88%, 26 arrows, 219/219 cells (100.0 %), waves 17, widest 4, >2 waves 3, initial 3, avg turns 2.54, longest 18, cross T>B 7/B>T 3, L>R 3/R>L 2, regions 7, streak 6, backtrack H9/V6, seed campaign.
032. 32_Level_EZ_26 [EASY]: 17x15 Rectangle, DX complexity 90%, 26 arrows, 255/255 cells (100.0 %), waves 15, widest 3, >2 waves 2, initial 1, avg turns 2.69, longest 20, cross T>B 4/B>T 1, L>R 4/R>L 4, regions 6, streak 4, backtrack H5/V7, seed campaign.
033. 33_Level_EZ_27 [EASY]: 17x16 Rectangle, DX complexity 92%, 24 arrows, 272/272 cells (100.0 %), waves 12, widest 4, >2 waves 1, initial 2, avg turns 3.13, longest 21, cross T>B 3/B>T 3, L>R 4/R>L 1, regions 6, streak 3, backtrack H3/V4, seed campaign.
034. 34_Level_EZ_28 [EASY]: 18x16 Oval, DX complexity 94%, 27 arrows, 252/252 cells (100.0 %), waves 14, widest 3, >2 waves 5, initial 3, avg turns 2.78, longest 21, cross T>B 3/B>T 2, L>R 4/R>L 3, regions 6, streak 4, backtrack H7/V6, seed campaign.
035. 35_Level_H_4 [HARD]: 21x20 Rectangle, DX Flow complexity 98%, 30 arrows, 420/420 cells (100.0 %), waves 18, widest 5, >2 waves 2, initial 2, avg turns 3.47, longest 28, cross T>B 4/B>T 2, L>R 1/R>L 4, regions 7, streak 4, backtrack H8/V6, seed campaign.
036. 36_Level_EZ_29 [EASY]: 17x16 Staircase, DX complexity 92%, 24 arrows, 232/232 cells (100.0 %), waves 14, widest 3, >2 waves 1, initial 2, avg turns 2.83, longest 19, cross T>B 4/B>T 3, L>R 0/R>L 0, regions 8, streak 3, backtrack H9/V4, seed campaign.
037. 37_Level_EZ_30 [EASY]: 18x16 Staircase, DX complexity 94%, 29 arrows, 224/224 cells (100.0 %), waves 18, widest 4, >2 waves 1, initial 4, avg turns 2.31, longest 18, cross T>B 1/B>T 2, L>R 5/R>L 2, regions 9, streak 3, backtrack H11/V9, seed campaign.
038. 38_Level_EZ_31 [EASY]: 18x17 LShape, DX complexity 96%, 33 arrows, 252/252 cells (100.0 %), waves 19, widest 4, >2 waves 3, initial 2, avg turns 2.42, longest 19, cross T>B 5/B>T 2, L>R 4/R>L 4, regions 6, streak 5, backtrack H9/V7, seed campaign.
039. 39_Level_EZ_32 [EASY]: 19x17 LShape, DX complexity 98%, 28 arrows, 247/247 cells (100.0 %), waves 14, widest 4, >2 waves 3, initial 2, avg turns 2.50, longest 19, cross T>B 2/B>T 0, L>R 2/R>L 1, regions 7, streak 4, backtrack H6/V4, seed campaign.
040. 40_Level_VH_4 [VERY HARD]: 24x23 Rectangle, DX Flow complexity 100%, 34 arrows, 552/552 cells (100.0 %), waves 21, widest 4, >2 waves 3, initial 1, avg turns 4.09, longest 32, cross T>B 3/B>T 3, L>R 1/R>L 3, regions 6, streak 6, backtrack H8/V10, seed campaign.
041. 41_Level_EZ_33 [EASY]: 18x17 Arrowhead, DX complexity 88%, 25 arrows, 216/216 cells (100.0 %), waves 14, widest 4, >2 waves 3, initial 3, avg turns 3.08, longest 18, cross T>B 4/B>T 3, L>R 1/R>L 3, regions 8, streak 3, backtrack H9/V5, seed campaign.
042. 42_Level_EZ_34 [EASY]: 19x17 Arrowhead, DX complexity 90%, 27 arrows, 225/225 cells (100.0 %), waves 16, widest 3, >2 waves 1, initial 1, avg turns 2.37, longest 18, cross T>B 2/B>T 4, L>R 4/R>L 0, regions 10, streak 3, backtrack H5/V8, seed campaign.
043. 43_Level_EZ_35 [EASY]: 19x18 Rectangle, DX complexity 92%, 31 arrows, 342/342 cells (100.0 %), waves 18, widest 4, >2 waves 2, initial 1, avg turns 2.68, longest 24, cross T>B 2/B>T 6, L>R 3/R>L 5, regions 6, streak 6, backtrack H8/V10, seed campaign.
044. 44_Level_EZ_36 [EASY]: 20x18 Beveled, DX complexity 94%, 20 arrows, 195/195 cells (100.0 %), waves 15, widest 3, >2 waves 1, initial 1, avg turns 3.25, longest 16, cross T>B 3/B>T 1, L>R 0/R>L 2, regions 7, streak 5, backtrack H6/V7, seed campaign.
045. 45_Level_H_5 [HARD]: 22x21 Rectangle, DX Flow complexity 99%, 37 arrows, 462/462 cells (100.0 %), waves 26, widest 3, >2 waves 1, initial 2, avg turns 3.62, longest 29, cross T>B 2/B>T 3, L>R 3/R>L 4, regions 12, streak 5, backtrack H10/V16, seed campaign.
046. 46_Level_EZ_37 [EASY]: 19x18 Beveled, DX complexity 91%, 29 arrows, 311/311 cells (100.0 %), waves 15, widest 4, >2 waves 4, initial 4, avg turns 2.55, longest 22, cross T>B 3/B>T 6, L>R 0/R>L 2, regions 6, streak 4, backtrack H8/V8, seed campaign.
047. 47_Level_EZ_38 [EASY]: 20x18 Hexagon, DX complexity 93%, 24 arrows, 177/177 cells (100.0 %), waves 14, widest 4, >2 waves 3, initial 4, avg turns 2.46, longest 15, cross T>B 1/B>T 3, L>R 2/R>L 2, regions 8, streak 4, backtrack H7/V6, seed campaign.
048. 48_Level_EZ_39 [EASY]: 20x19 Heart, DX complexity 95%, 28 arrows, 323/323 cells (100.0 %), waves 16, widest 3, >2 waves 2, initial 2, avg turns 3.18, longest 22, cross T>B 4/B>T 0, L>R 0/R>L 0, regions 6, streak 4, backtrack H7/V8, seed campaign.
049. 49_Level_EZ_40 [EASY]: 21x19 Heart, DX complexity 97%, 35 arrows, 309/309 cells (100.0 %), waves 20, widest 5, >2 waves 2, initial 5, avg turns 2.74, longest 23, cross T>B 3/B>T 3, L>R 3/R>L 3, regions 9, streak 4, backtrack H12/V10, seed campaign.
050. 50_Level_VH_5 [VERY HARD]: 25x24 Rectangle, DX Flow complexity 100%, 46 arrows, 600/600 cells (100.0 %), waves 29, widest 4, >2 waves 2, initial 2, avg turns 3.57, longest 33, cross T>B 4/B>T 4, L>R 2/R>L 3, regions 11, streak 4, backtrack H15/V12, seed campaign.
051. 51_Level_EZ_41 [EASY]: 20x19 Hourglass, DX complexity 94%, 26 arrows, 298/298 cells (100.0 %), waves 17, widest 3, >2 waves 1, initial 2, avg turns 3.12, longest 22, cross T>B 1/B>T 0, L>R 2/R>L 4, regions 7, streak 4, backtrack H10/V7, seed campaign.
052. 52_Level_EZ_42 [EASY]: 21x19 Rectangle, DX complexity 96%, 35 arrows, 399/399 cells (100.0 %), waves 24, widest 4, >2 waves 1, initial 2, avg turns 2.77, longest 24, cross T>B 3/B>T 3, L>R 5/R>L 2, regions 8, streak 8, backtrack H9/V10, seed campaign.
053. 53_Level_EZ_43 [EASY]: 21x20 Rectangle, DX complexity 98%, 31 arrows, 420/420 cells (100.0 %), waves 19, widest 3, >2 waves 1, initial 2, avg turns 3.19, longest 26, cross T>B 2/B>T 2, L>R 2/R>L 3, regions 10, streak 3, backtrack H6/V11, seed campaign.
054. 54_Level_EZ_44 [EASY]: 22x20 Rectangle, DX complexity 100%, 36 arrows, 440/440 cells (100.0 %), waves 20, widest 4, >2 waves 4, initial 2, avg turns 2.81, longest 26, cross T>B 5/B>T 1, L>R 4/R>L 4, regions 10, streak 3, backtrack H8/V13, seed campaign.
055. 55_Level_H_6 [HARD]: 23x22 Rectangle, DX Flow complexity 100%, 33 arrows, 506/506 cells (100.0 %), waves 23, widest 3, >2 waves 2, initial 2, avg turns 3.97, longest 30, cross T>B 4/B>T 3, L>R 2/R>L 4, regions 9, streak 6, backtrack H14/V16, seed campaign.
056. 56_Level_EZ_45 [EASY]: 21x20 Rectangle, DX complexity 97%, 39 arrows, 420/420 cells (100.0 %), waves 18, widest 4, >2 waves 5, initial 3, avg turns 2.85, longest 26, cross T>B 3/B>T 5, L>R 4/R>L 3, regions 8, streak 4, backtrack H8/V8, seed campaign.
057. 57_Level_EZ_46 [EASY]: 22x20 Cross, DX complexity 99%, 36 arrows, 398/398 cells (100.0 %), waves 16, widest 6, >2 waves 5, initial 6, avg turns 2.36, longest 25, cross T>B 3/B>T 2, L>R 2/R>L 3, regions 7, streak 4, backtrack H6/V6, seed campaign.
058. 58_Level_EZ_47 [EASY]: 22x21 Cross, DX complexity 100%, 31 arrows, 280/280 cells (100.0 %), waves 21, widest 3, >2 waves 1, initial 2, avg turns 2.87, longest 19, cross T>B 1/B>T 2, L>R 5/R>L 1, regions 14, streak 3, backtrack H8/V10, seed campaign.
059. 59_Level_EZ_48 [EASY]: 23x21 Clover, DX complexity 100%, 30 arrows, 251/251 cells (100.0 %), waves 17, widest 3, >2 waves 4, initial 3, avg turns 2.77, longest 20, cross T>B 5/B>T 1, L>R 4/R>L 2, regions 10, streak 4, backtrack H7/V7, seed campaign.
060. 60_Level_VH_6 [VERY HARD]: 26x25 Rectangle, DX Flow complexity 100%, 47 arrows, 650/650 cells (100.0 %), waves 30, widest 3, >2 waves 2, initial 2, avg turns 4.47, longest 36, cross T>B 2/B>T 1, L>R 1/R>L 3, regions 12, streak 5, backtrack H12/V12, seed campaign.
061. 61_Level_EZ_49 [EASY]: 22x21 Rectangle, DX complexity 94%, 39 arrows, 462/462 cells (100.0 %), waves 22, widest 4, >2 waves 5, initial 2, avg turns 3.28, longest 28, cross T>B 4/B>T 3, L>R 7/R>L 7, regions 9, streak 7, backtrack H13/V10, seed campaign.
062. 62_Level_EZ_50 [EASY]: 23x21 Diamond, DX complexity 96%, 36 arrows, 313/313 cells (100.0 %), waves 21, widest 4, >2 waves 4, initial 3, avg turns 2.94, longest 21, cross T>B 3/B>T 4, L>R 6/R>L 3, regions 10, streak 4, backtrack H6/V10, seed campaign.
063. 63_Level_EZ_51 [EASY]: 23x22 Oval, DX complexity 98%, 35 arrows, 464/464 cells (100.0 %), waves 21, widest 3, >2 waves 2, initial 2, avg turns 3.20, longest 27, cross T>B 4/B>T 2, L>R 3/R>L 3, regions 7, streak 4, backtrack H10/V12, seed campaign.
064. 64_Level_EZ_52 [EASY]: 24x22 Rectangle, DX complexity 100%, 39 arrows, 528/528 cells (100.0 %), waves 28, widest 3, >2 waves 1, initial 1, avg turns 3.90, longest 31, cross T>B 0/B>T 4, L>R 3/R>L 6, regions 11, streak 6, backtrack H10/V14, seed campaign.
065. 65_Level_H_7 [HARD]: 24x23 Rectangle, DX Flow complexity 100%, 37 arrows, 552/552 cells (100.0 %), waves 24, widest 3, >2 waves 1, initial 2, avg turns 4.19, longest 32, cross T>B 2/B>T 5, L>R 7/R>L 6, regions 11, streak 5, backtrack H11/V10, seed campaign.
066. 66_Level_EZ_53 [EASY]: 23x22 Rectangle, DX complexity 96%, 36 arrows, 506/506 cells (100.0 %), waves 23, widest 3, >2 waves 4, initial 2, avg turns 2.92, longest 28, cross T>B 4/B>T 2, L>R 2/R>L 5, regions 13, streak 4, backtrack H9/V12, seed campaign.
067. 67_Level_EZ_54 [EASY]: 24x22 Rectangle, DX complexity 98%, 41 arrows, 528/528 cells (100.0 %), waves 24, widest 4, >2 waves 4, initial 2, avg turns 3.37, longest 31, cross T>B 7/B>T 3, L>R 3/R>L 1, regions 12, streak 4, backtrack H12/V13, seed campaign.
068. 68_Level_EZ_55 [EASY]: 24x23 Staircase, DX complexity 100%, 40 arrows, 424/424 cells (100.0 %), waves 22, widest 3, >2 waves 5, initial 3, avg turns 3.10, longest 26, cross T>B 5/B>T 6, L>R 2/R>L 5, regions 12, streak 6, backtrack H12/V11, seed campaign.
069. 69_Level_EZ_56 [EASY]: 25x23 LShape, DX complexity 100%, 31 arrows, 320/320 cells (100.0 %), waves 18, widest 3, >2 waves 2, initial 2, avg turns 2.94, longest 21, cross T>B 0/B>T 1, L>R 3/R>L 1, regions 3, streak 6, backtrack H9/V9, seed campaign.
070. 70_Level_VH_7 [VERY HARD]: 27x26 Rectangle, DX Flow complexity 100%, 37 arrows, 702/702 cells (100.0 %), waves 21, widest 3, >2 waves 3, initial 2, avg turns 4.62, longest 42, cross T>B 4/B>T 5, L>R 3/R>L 5, regions 11, streak 4, backtrack H13/V10, seed campaign.
071. 71_Level_EZ_57 [EASY]: 24x23 Rectangle, DX complexity 98%, 37 arrows, 552/552 cells (100.0 %), waves 22, widest 3, >2 waves 3, initial 2, avg turns 4.00, longest 29, cross T>B 6/B>T 4, L>R 4/R>L 6, regions 11, streak 4, backtrack H10/V10, seed campaign.
072. 72_Level_EZ_58 [EASY]: 25x23 Rectangle, DX complexity 100%, 49 arrows, 575/575 cells (100.0 %), waves 28, widest 4, >2 waves 4, initial 2, avg turns 3.53, longest 29, cross T>B 4/B>T 2, L>R 7/R>L 3, regions 14, streak 4, backtrack H13/V12, seed campaign.
073. 73_Level_EZ_59 [EASY]: 25x24 Rectangle, DX complexity 100%, 40 arrows, 600/600 cells (100.0 %), waves 18, widest 5, >2 waves 5, initial 2, avg turns 4.45, longest 31, cross T>B 3/B>T 2, L>R 3/R>L 3, regions 6, streak 4, backtrack H10/V7, seed campaign.
074. 74_Level_EZ_60 [EASY]: 26x24 Arrowhead, DX complexity 100%, 34 arrows, 360/360 cells (100.0 %), waves 14, widest 5, >2 waves 6, initial 5, avg turns 3.65, longest 22, cross T>B 6/B>T 3, L>R 0/R>L 1, regions 7, streak 4, backtrack H6/V5, seed campaign.
075. 75_Level_H_8 [HARD]: 25x24 Rectangle, DX Flow complexity 100%, 41 arrows, 600/600 cells (100.0 %), waves 23, widest 5, >2 waves 5, initial 2, avg turns 4.00, longest 33, cross T>B 4/B>T 4, L>R 2/R>L 2, regions 13, streak 3, backtrack H8/V9, seed campaign.
076. 76_Level_EZ_61 [EASY]: 25x24 Diamond, DX complexity 100%, 40 arrows, 389/389 cells (100.0 %), waves 20, widest 4, >2 waves 5, initial 4, avg turns 2.93, longest 23, cross T>B 2/B>T 4, L>R 3/R>L 6, regions 10, streak 5, backtrack H8/V10, seed campaign.
077. 77_Level_EZ_62 [EASY]: 26x24 Rectangle, DX complexity 100%, 48 arrows, 624/624 cells (100.0 %), waves 21, widest 5, >2 waves 7, initial 2, avg turns 3.21, longest 31, cross T>B 3/B>T 4, L>R 6/R>L 5, regions 9, streak 4, backtrack H7/V8, seed campaign.
078. 78_Level_EZ_63 [EASY]: 26x25 Oval, DX complexity 100%, 50 arrows, 583/583 cells (100.0 %), waves 28, widest 4, >2 waves 4, initial 3, avg turns 3.00, longest 30, cross T>B 1/B>T 4, L>R 5/R>L 4, regions 10, streak 8, backtrack H16/V12, seed campaign.
079. 79_Level_EZ_64 [EASY]: 27x25 Rectangle, DX complexity 100%, 42 arrows, 675/675 cells (100.0 %), waves 24, widest 6, >2 waves 4, initial 2, avg turns 4.64, longest 33, cross T>B 3/B>T 5, L>R 2/R>L 2, regions 11, streak 4, backtrack H11/V10, seed campaign.
080. 80_Level_VH_8 [VERY HARD]: 28x27 Rectangle, DX Flow complexity 100%, 44 arrows, 756/756 cells (100.0 %), waves 23, widest 4, >2 waves 6, initial 2, avg turns 4.59, longest 37, cross T>B 5/B>T 3, L>R 2/R>L 2, regions 10, streak 6, backtrack H13/V10, seed campaign.
081. 81_Level_EZ_65 [EASY]: 26x25 Arrowhead, DX complexity 98%, 38 arrows, 379/379 cells (100.0 %), waves 19, widest 5, >2 waves 5, initial 5, avg turns 3.32, longest 23, cross T>B 3/B>T 3, L>R 2/R>L 4, regions 7, streak 7, backtrack H10/V8, seed campaign.
082. 82_Level_EZ_66 [EASY]: 27x25 Staircase, DX complexity 99%, 48 arrows, 574/574 cells (100.0 %), waves 28, widest 3, >2 waves 6, initial 2, avg turns 3.25, longest 29, cross T>B 3/B>T 4, L>R 3/R>L 3, regions 9, streak 5, backtrack H13/V11, seed campaign.
083. 83_Level_EZ_67 [EASY]: 27x26 Beveled, DX complexity 100%, 49 arrows, 668/668 cells (100.0 %), waves 25, widest 4, >2 waves 7, initial 4, avg turns 3.53, longest 32, cross T>B 3/B>T 3, L>R 7/R>L 4, regions 9, streak 6, backtrack H11/V11, seed campaign.
084. 84_Level_EZ_68 [EASY]: 28x26 Rectangle, DX complexity 100%, 47 arrows, 728/728 cells (100.0 %), waves 24, widest 4, >2 waves 8, initial 1, avg turns 3.49, longest 34, cross T>B 1/B>T 1, L>R 1/R>L 10, regions 8, streak 7, backtrack H15/V11, seed campaign.
085. 85_Level_H_9 [HARD]: 27x26 Rectangle, DX Flow complexity 100%, 46 arrows, 702/702 cells (100.0 %), waves 29, widest 4, >2 waves 4, initial 2, avg turns 3.78, longest 37, cross T>B 4/B>T 1, L>R 3/R>L 4, regions 12, streak 6, backtrack H15/V10, seed campaign.
086. 86_Level_EZ_69 [EASY]: 27x26 Oval, DX complexity 99%, 46 arrows, 654/654 cells (100.0 %), waves 21, widest 5, >2 waves 6, initial 4, avg turns 4.35, longest 32, cross T>B 7/B>T 6, L>R 2/R>L 4, regions 5, streak 7, backtrack H14/V9, seed campaign.
087. 87_Level_EZ_70 [EASY]: 28x26 Rectangle, DX complexity 100%, 42 arrows, 728/728 cells (100.0 %), waves 24, widest 5, >2 waves 2, initial 2, avg turns 4.24, longest 34, cross T>B 5/B>T 6, L>R 4/R>L 3, regions 7, streak 7, backtrack H8/V13, seed campaign.
088. 88_Level_EZ_71 [EASY]: 28x27 LShape, DX complexity 100%, 36 arrows, 450/450 cells (100.0 %), waves 23, widest 4, >2 waves 3, initial 2, avg turns 3.42, longest 25, cross T>B 3/B>T 3, L>R 0/R>L 3, regions 9, streak 3, backtrack H10/V10, seed campaign.
089. 89_Level_EZ_72 [EASY]: 29x27 Rectangle, DX complexity 100%, 51 arrows, 783/783 cells (100.0 %), waves 26, widest 6, >2 waves 5, initial 1, avg turns 3.57, longest 36, cross T>B 6/B>T 5, L>R 7/R>L 3, regions 15, streak 3, backtrack H9/V15, seed campaign.
